"Activity name","Activity status","Error","Activity type","Run start","Duration","Integration runtime","User properties","Activity run ID","Log"
"bronze_to_silver","Succeeded","","DatabricksNotebook","7/12/2024, 5:49:29 PM","51s","AutoResolveIntegrationRuntime (Brazil South)","{}","2c39b7f0-d0e9-4b1d-b7df-7a379d3e25b0",""
"transient to bronze","Succeeded","","DatabricksNotebook","7/12/2024, 5:48:40 PM","47s","AutoResolveIntegrationRuntime (Brazil South)","{}","e8936c2a-1029-452c-b76e-a7e817c933ba",""
"olist_sellers_dataset","Succeeded","","Copy","7/12/2024, 5:48:21 PM","17s","AutoResolveIntegrationRuntime (Brazil South)","{}","1a4be42f-ea00-48f3-be78-c8cd36eec369",""
"olist_products_dataset","Succeeded","","Copy","7/12/2024, 5:47:55 PM","25s","AutoResolveIntegrationRuntime (Brazil South)","{}","22d535c8-5977-4a6d-8d54-3b2a9d048506",""
"olist_orders_dataset","Succeeded","","Copy","7/12/2024, 5:47:36 PM","17s","AutoResolveIntegrationRuntime (Brazil South)","{}","21cd3c96-2a6d-4c20-978b-94014f902383",""
"olist_order_reviews_dataset","Succeeded","","Copy","7/12/2024, 5:47:13 PM","21s","AutoResolveIntegrationRuntime (Brazil South)","{}","c32ca1bb-1ef8-4b25-aa83-457c6d7e5d78",""
"olist_order_payments_dataset","Succeeded","","Copy","7/12/2024, 5:46:56 PM","16s","AutoResolveIntegrationRuntime (Brazil South)","{}","7061cbc9-e0f8-47eb-8506-aafa90558bd8",""
"olist_order_items_dataset","Succeeded","","Copy","7/12/2024, 5:46:32 PM","22s","AutoResolveIntegrationRuntime (Brazil South)","{}","235c4a05-420f-4c94-b263-814bfeb869de",""
"olist_geolocation_dataset","Succeeded","","Copy","7/12/2024, 5:46:08 PM","24s","AutoResolveIntegrationRuntime (Brazil South)","{}","f641d160-a846-42c5-a6e3-b437f8329516",""
"olist_customers_dataset","Succeeded","","Copy","7/12/2024, 5:45:46 PM","21s","AutoResolveIntegrationRuntime (Brazil South)","{}","2220c437-9966-4c68-a512-228e2d895dc7",""
"get_now","Succeeded","","SetVariable","7/12/2024, 5:45:45 PM","Less than 1s","","{}","fd042d38-9c15-433a-bbd9-346cd01ce4a2",""